"","V1","V2","V3","V4","V5","V6"
"1",166.825600761961,469.369638296299,375.619969791984,3.2537035802347,9.04844400812376,2.65866995067759
"2",160.889080052294,473.265030412575,381.147705799697,3.26852239629653,9.28395314348498,2.10575012005288
"3",187.97386384216,481.653656086711,389.072507688188,3.81439215325368,9.32881479243797,2.11666112193423
"4",178.320768482578,476.139778333033,382.634730709713,3.55007438871924,9.21142924133756,2.44483075103377
"5",192.648632289012,483.170918174933,390.149230909599,4.00078948254053,9.41054361478542,2.12312971981463
"6",168.860984036171,469.162785347211,376.250723501663,3.30241679886533,9.12592191343897,2.07828898131909
"7",180.347398278452,476.772867216247,383.202662871024,3.60535387339627,9.23859188849524,2.08895458314279
"8",180.264933048288,481.102011340593,387.028909045351,3.51158443873733,9.25520637983449,2.46985513040547
"9",181.995489956609,478.822746052965,385.062242255657,3.59396174439586,9.27208606076471,2.14463845088039
"10",179.958086166511,476.790723016217,384.115978674706,3.65844460520249,9.2678293458707,2.32988803293661
"11",177.86720132988,475.673844122774,382.176589722443,3.5033292138487,9.20269426040616,2.30975094710717
"12",169.604924267436,473.537729655335,380.830333061097,3.40929839250788,9.21934971629491,2.32629733654705
"13",174.56295854223,474.310097216617,380.958468052085,3.40700061880133,9.17100117921676,2.2911549639106
"14",190.311248065586,481.926069810095,389.250289011371,3.90759081789711,9.36084467063148,2.09729378366745
"15",181.17144411753,477.600425863019,383.917650484677,3.59965780889606,9.24821145311955,2.11527768721534
"16",170.997229239939,475.226118999801,381.904981762635,3.4579143295728,9.17861367087288,2.49664154679911
