"","V1","V2","V3","V4","V5","V6"
"1",273.544383190786,1268.64777575576,1119.75372873688,-3.03945690783583,21.6135070333465,4.06150243607603
"2",347.49470388122,1254.07442560138,1110.22732941415,-1.54090618699022,22.3142042559799,3.19569083303758
"3",325.936367822894,1235.86773960357,1093.57252314995,-2.10220675847294,21.292963958169,3.33147450676491
"4",313.804244511751,1286.18040190131,1142.64659893318,-1.95712428997133,22.233217276651,3.72089527293514
"5",328.431620196086,1247.78770919584,1103.61437229542,-2.20621115793976,21.259675213702,3.33707684649569
"6",333.470379882739,1244.18300457964,1099.93834764421,-2.01113543035727,22.7087420654685,3.14525603583275
"7",337.975920586614,1235.96954704841,1091.06826253095,-1.67984061560264,21.5793436698315,3.37702223854658
"8",331.787511315392,1285.35675948546,1139.81274702553,-1.46326745129215,21.9047243047275,3.70535990490651
"9",326.709156960923,1238.48470491882,1093.95080278921,-2.17846584394203,21.4897482871428,3.35959933531804
"10",328.916734102987,1211.2648661295,1071.88361300367,-1.95161209834357,20.8222793149122,3.53732859542021
"11",332.485742186417,1212.69264848161,1071.31268214108,-1.83317733529852,21.2068958012483,3.56707396917486
"12",330.649474196485,1234.83201668993,1094.45516228103,-1.74901523848078,21.6257774540985,3.51463203856254
"13",327.18399400949,1229.61727077743,1087.7198282852,-2.15420895820635,20.9481512558767,3.34097059705405
"14",332.628945599066,1231.93648572597,1090.82452455874,-1.73720144082471,21.7249494473645,3.5183040567983
"15",332.342538773768,1227.33021916311,1083.48496593009,-1.92915322977233,21.3229611201241,3.39276439940694
"16",315.36692304905,1226.03040861075,1083.78145778066,-2.12290302272201,20.9658472386464,3.88447822110467
