"","V1","V2","V3","V4","V5","V6"
"1",-53.755062337086,814.196035894524,677.315905404619,-9.38047381823535,19.7970121013548,1.14681109730262
"2",-80.7452506023331,851.296705147096,707.273832807776,-9.95396665383102,20.7305744156326,1.04307497364326
"3",-62.1654679595679,810.970233774522,676.053926423952,-8.95891046364095,19.5295732682068,1.05401491183101
"4",-60.2705899492194,820.270476855009,684.054229763954,-9.0399486338112,19.6614988666729,1.17180888315193
"5",-67.6431367637872,795.231699813637,663.461658486083,-9.21748331282012,19.389480605343,1.03523586823859
"6",-56.0472350103064,783.392122848739,652.520495531934,-9.0507638479685,18.9950252716423,1.01146454137145
"7",-59.4545500719158,783.36874541602,654.020826356092,-9.09359453926383,19.123393201264,1.04004074296586
"8",-67.2964198340201,822.31132161552,687.893471012085,-8.97428104517025,19.6703279269722,1.17848144501254
"9",-63.594461246957,789.781419824036,658.338835551225,-9.23861185389348,19.2820352223268,1.03852804801074
"10",-67.7061113187269,779.88770220508,650.798258468041,-9.29257726602583,19.0122522532918,1.02999738827818
"11",-61.5981665407999,763.259784635128,638.13061670073,-9.08931282157401,18.6405107972945,1.03316462132618
"12",-70.5079202757763,803.761056247242,668.987302855358,-9.49695764382111,19.4934295359573,1.04563631022945
"13",-64.9043023616776,789.172577034447,658.759457751672,-9.08819688823054,19.1920625009581,1.02748945312411
"14",-61.6718274221633,774.85384288383,647.360441997281,-9.01252244656937,18.754063258432,1.03214943889044
"15",-61.5245056594364,781.117080683623,651.795485906381,-9.16610319657866,19.0980669720038,1.03624321413868
"16",-91.5680466162354,810.317961224938,681.445086165289,-10.0275592878944,19.9299295480507,1.10403793303928
