指标名称,安徽:建筑业:建筑业总产值:累计值,北京:建筑业:建筑业总产值:累计值,福建:建筑业:建筑业总产值:累计值,甘肃:建筑业:建筑业总产值:累计值,广东:建筑业:建筑业总产值:累计值,广西:建筑业:建筑业总产值:累计值,贵州:建筑业:建筑业总产值:累计值,海南:建筑业:建筑业总产值:累计值,河北:建筑业:建筑业总产值:累计值,黑龙江:建筑业:建筑业总产值:累计值,河南:建筑业:建筑业总产值:累计值,湖北:建筑业:建筑业总产值:累计值,湖南:建筑业:建筑业总产值:累计值,江苏:建筑业:建筑业总产值:累计值,江西:建筑业:建筑业总产值:累计值,吉林:建筑业:建筑业总产值:累计值,辽宁:建筑业:建筑业总产值:累计值,内蒙古:建筑业:建筑业总产值:累计值,宁夏:建筑业:建筑业总产值:累计值,青海:建筑业:建筑业总产值:累计值,山东:建筑业:建筑业总产值:累计值,上海:建筑业:建筑业总产值:累计值,陕西:建筑业:建筑业总产值:累计值,山西:建筑业:建筑业总产值:累计值,四川:建筑业:建筑业总产值:累计值,天津:建筑业:建筑业总产值:累计值,新疆:建筑业:建筑业总产值:累计值,西藏:建筑业:建筑业总产值:累计值,云南:建筑业:建筑业总产值:累计值,浙江:建筑业:建筑业总产值:累计值,重庆:建筑业:建筑业总产值:累计值
2016-09,4024.87 ,5871.30 ,5678.47 ,1390.71 ,6500.17 ,2111.66 ,1611.57 ,206.52 ,3758.66 ,860.87 ,5699.19 ,7693.72 ,4867.18 ,15801.93 ,3191.60 ,1339.75 ,2898.35 ,734.64 ,319.01 ,279.79 ,6683.57 ,4176.50 ,3537.39 ,2136.64 ,6830.99 ,3286.30 ,1425.06 ,73.90 ,2351.39 ,15772.84 ,4677.03 
2016-12,6047.29 ,8841.19 ,8531.45 ,1947.24 ,9652.31 ,3449.19 ,2362.95 ,307.76 ,5517.69 ,1716.61 ,8807.99 ,11862.40 ,7304.22 ,25791.76 ,5179.03 ,2283.56 ,3926.71 ,1220.81 ,511.25 ,410.62 ,10087.43 ,6046.19 ,5329.23 ,3318.47 ,9959.68 ,4891.81 ,2258.24 ,111.28 ,3867.22 ,24989.37 ,7035.81 
2017-03,1275.60 ,1358.75 ,1774.19 ,228.00 ,2093.94 ,726.69 ,501.83 ,73.86 ,830.04 ,32.51 ,1803.56 ,2474.58 ,1525.04 ,3779.69 ,1027.84 ,104.47 ,377.88 ,62.38 ,46.89 ,60.58 ,1687.18 ,1151.04 ,893.67 ,413.42 ,2171.70 ,785.81 ,110.82 ,12.29 ,773.85 ,4492.86 ,1537.72 
2017-06,2879.09 ,4050.74 ,4184.33 ,778.62 ,4792.45 ,1740.75 ,1208.94 ,140.54 ,2382.46 ,405.37 ,4042.36 ,5631.11 ,3526.34 ,10425.91 ,2318.00 ,718.24 ,1285.30 ,349.18 ,167.84 ,152.70 ,4544.53 ,2729.91 ,2482.58 ,1283.24 ,4832.18 ,2190.47 ,707.79 ,38.58 ,1732.67 ,10761.01 ,3387.85 
2017-09,4531.71 ,6644.42 ,6617.30 ,1267.74 ,7511.19 ,2538.04 ,2007.68 ,215.06 ,3876.80 ,944.90 ,6422.61 ,8630.52 ,5427.15 ,17220.59 ,3787.35 ,1408.98 ,2405.24 ,724.05 ,337.16 ,254.33 ,7491.46 ,4370.16 ,4147.00 ,2268.41 ,7809.62 ,3375.92 ,1571.18 ,85.70 ,2823.37 ,17276.85 ,5267.26 
2017-12,6829.36 ,9736.71 ,9993.65 ,1825.42 ,11372.52 ,4210.07 ,2932.96 ,322.76 ,5655.96 ,1560.07 ,10085.49 ,13391.23 ,8422.86 ,27955.95 ,6166.81 ,2218.97 ,3687.92 ,1122.19 ,549.21 ,406.78 ,11477.75 ,6426.42 ,6227.47 ,3566.57 ,11400.34 ,4262.35 ,2428.06 ,147.92 ,4726.36 ,27235.82 ,7608.00 
2018-03,1441.40 ,1568.94 ,2076.10 ,221.15 ,2466.94 ,867.35 ,624.64 ,74.33 ,878.56 ,34.50 ,2059.93 ,2833.20 ,1740.87 ,4272.97 ,1264.17 ,110.97 ,397.10 ,60.68 ,52.67 ,72.47 ,1927.68 ,1326.11 ,1062.37 ,465.09 ,2493.77 ,619.43 ,106.64 ,16.92 ,929.52 ,4929.27 ,1696.22 
2018-06,3299.92 ,4528.88 ,4916.59 ,725.95 ,5467.27 ,1959.48 ,1437.38 ,136.97 ,2420.74 ,319.79 ,4597.89 ,6458.89 ,3920.34 ,11615.45 ,2769.99 ,606.73 ,1276.55 ,325.60 ,184.58 ,154.34 ,5163.14 ,3036.12 ,2872.22 ,1430.74 ,5464.90 ,1660.72 ,555.71 ,56.80 ,2008.16 ,11893.95 ,3524.62 
2018-09,5122.11 ,7359.88 ,7792.42 ,1210.03 ,8773.24 ,3002.28 ,2240.88 ,215.69 ,3930.60 ,690.94 ,7185.97 ,9881.95 ,6078.40 ,19199.58 ,4365.32 ,1375.90 ,2240.08 ,628.62 ,352.73 ,262.53 ,8472.99 ,4793.49 ,4698.03 ,2566.31 ,8861.97 ,2594.33 ,1182.56 ,100.37 ,3169.84 ,18592.51 ,5384.68 
2018-12,7888.45 ,10939.76 ,11548.82 ,1796.43 ,13714.37 ,4671.72 ,3329.98 ,339.22 ,5740.25 ,1194.28 ,11360.52 ,15133.87 ,9581.44 ,30846.66 ,6993.40 ,2183.63 ,3528.41 ,1040.12 ,565.04 ,435.14 ,12898.29 ,7072.21 ,7120.15 ,4071.46 ,12983.75 ,3791.10 ,2110.05 ,172.82 ,5458.52 ,28756.20 ,7819.42 
2019-03,1609.61 ,1784.84 ,2383.60 ,235.71 ,2943.23 ,992.10 ,715.58 ,78.82 ,876.89 ,36.62 ,2322.30 ,3202.80 ,1954.71 ,4688.38 ,1406.64 ,116.96 ,408.63 ,60.99 ,55.07 ,78.03 ,2161.57 ,1490.92 ,1219.43 ,534.57 ,2844.94 ,662.43 ,122.13 ,21.97 ,1067.39 ,4923.76 ,1757.79 
2019-06,3726.12 ,5253.14 ,5602.93 ,761.47 ,6593.42 ,2241.66 ,1641.61 ,145.19 ,2409.31 ,316.37 ,5170.56 ,7257.50 ,4407.34 ,12438.98 ,3156.15 ,557.23 ,1307.41 ,329.11 ,188.88 ,156.50 ,5699.32 ,3426.99 ,3247.24 ,1642.12 ,6235.84 ,1726.43 ,647.07 ,58.82 ,2286.02 ,9291.17 ,3694.20 
2019-09,5754.99 ,8484.60 ,8864.32 ,1276.91 ,10586.47 ,3462.16 ,2514.26 ,231.89 ,3985.22 ,676.59 ,8003.49 ,11184.40 ,6849.28 ,20682.23 ,4945.87 ,1143.36 ,2292.70 ,650.39 ,368.90 ,286.29 ,9306.83 ,5365.24 ,5186.18 ,3025.11 ,10092.09 ,2781.72 ,1388.74 ,107.64 ,3705.26 ,13610.45 ,5653.76 
2019-12,8503.26 ,11999.36 ,13164.43 ,1916.35 ,16633.41 ,5407.31 ,3714.89 ,365.98 ,5847.97 ,1181.35 ,12700.97 ,16979.59 ,10800.62 ,33103.64 ,7944.78 ,1863.10 ,3554.56 ,1086.06 ,601.41 ,460.72 ,14269.29 ,7812.65 ,7883.88 ,4653.28 ,14668.15 ,4096.50 ,2276.72 ,220.31 ,6122.09 ,20390.20 ,8222.96 
2020-03,1255.10 ,1685.95 ,2102.66 ,180.54 ,2574.32 ,893.61 ,670.64 ,58.26 ,733.97 ,29.33 ,2144.71 ,1630.68 ,1867.56 ,4212.13 ,1330.65 ,99.70 ,337.59 ,58.09 ,45.60 ,77.20 ,2005.32 ,1213.07 ,980.52 ,522.97 ,2615.96 ,570.86 ,121.89 ,30.41 ,888.71 ,3335.39 ,1643.19 
2020-06,3768.97 ,5249.96 ,5581.60 ,748.54 ,6859.91 ,2294.79 ,1675.52 ,142.57 ,2425.69 ,300.14 ,5242.82 ,5704.20 ,4656.41 ,12428.68 ,3311.38 ,568.48 ,1266.30 ,338.77 ,198.83 ,168.52 ,5696.26 ,3277.08 ,3250.07 ,1768.98 ,6411.41 ,1659.87 ,805.86 ,88.47 ,2457.15 ,8592.38 ,3900.50 
2020-09,6139.19 ,8910.50 ,9400.04 ,1305.92 ,11358.87 ,3623.42 ,2658.90 ,248.22 ,3987.90 ,674.75 ,8305.06 ,9946.85 ,7393.01 ,21297.27 ,5280.42 ,1203.36 ,2380.73 ,675.59 ,386.80 ,305.56 ,9413.20 ,5515.54 ,5400.57 ,3294.69 ,10488.22 ,2924.20 ,1668.30 ,145.29 ,4039.43 ,13395.95 ,6159.23 
2020-12,9365.12 ,12905.87 ,14117.81 ,2049.28 ,18429.71 ,5853.24 ,4080.24 ,391.37 ,5948.09 ,1206.37 ,13122.55 ,16136.10 ,11863.77 ,35251.64 ,8649.16 ,2005.78 ,3816.20 ,1134.44 ,641.81 ,512.24 ,14947.30 ,8277.04 ,8501.13 ,5113.64 ,15612.70 ,4388.17 ,2693.12 ,294.74 ,6724.82 ,20938.61 ,8974.97 
2021-03,1750.14 ,2203.81 ,2831.48 ,257.93 ,3805.83 ,1179.65 ,841.08 ,85.83 ,905.92 ,37.69 ,2542.28 ,2962.86 ,2348.24 ,5048.02 ,1691.56 ,138.87 ,429.22 ,116.67 ,72.69 ,91.49 ,2405.31 ,1672.82 ,1428.98 ,656.28 ,3144.86 ,800.92 ,153.81 ,40.62 ,1226.30 ,4537.23 ,1924.77 
2021-06,4528.63 ,6257.08 ,6694.15 ,904.23 ,8904.44 ,2837.62 ,1966.71 ,170.17 ,2682.68 ,355.69 ,6107.89 ,7404.63 ,5429.11 ,13925.18 ,3928.85 ,643.08 ,1502.10 ,467.26 ,244.45 ,207.82 ,6466.48 ,4022.45 ,3754.60 ,2062.01 ,7490.71 ,2031.13 ,969.62 ,102.72 ,2940.41 ,10342.69 ,4498.96 
2021-09,7117.44 ,10090.17 ,10570.84 ,1513.46 ,14038.88 ,4341.76 ,3009.98 ,284.05 ,4418.85 ,760.10 ,9144.39 ,11886.90 ,8422.07 ,23158.22 ,6096.57 ,1360.93 ,2680.61 ,820.44 ,457.12 ,370.55 ,10532.06 ,6333.04 ,5987.08 ,3703.14 ,11937.99 ,3288.81 ,2001.68 ,147.76 ,4557.93 ,15333.50 ,6917.07 
2021-12,10584.04 ,13987.74 ,15810.43 ,2270.50 ,21346.12 ,6655.96 ,4570.78 ,447.09 ,6484.60 ,1328.50 ,14192.07 ,19031.55 ,13280.16 ,38244.49 ,9762.95 ,2246.29 ,4044.90 ,1279.38 ,681.60 ,587.33 ,16411.48 ,9235.99 ,9175.45 ,5677.71 ,17351.19 ,4653.05 ,3124.77 ,270.73 ,7336.59 ,23010.97 ,9943.01 
2022-03,1949.11 ,2380.64 ,3111.95 ,285.70 ,4173.43 ,1296.43 ,930.52 ,84.99 ,981.81 ,41.37 ,2782.58 ,3409.16 ,2605.04 ,5439.27 ,1867.79 ,96.19 ,467.86 ,131.46 ,80.11 ,97.31 ,2619.92 ,1721.93 ,1570.19 ,723.94 ,3412.52 ,826.79 ,178.62 ,46.63 ,1377.52 ,4898.64 ,2120.09 
2022-06,5003.97 ,6402.69 ,7287.85 ,997.97 ,9628.96 ,3088.03 ,2173.44 ,178.47 ,2898.36 ,383.92 ,6682.59 ,8499.30 ,5963.47 ,14871.98 ,4315.14 ,577.42 ,1595.62 ,498.57 ,269.12 ,222.15 ,6984.42 ,3661.00 ,4127.81 ,2263.17 ,8080.61 ,2108.03 ,1116.03 ,86.70 ,3214.62 ,10866.64 ,4931.70 
2022-09,7890.26 ,10013.23 ,11547.29 ,1668.91 ,15196.21 ,4719.36 ,3154.33 ,294.84 ,4789.99 ,815.63 ,10027.65 ,13579.53 ,9293.02 ,24854.72 ,6727.27 ,1387.87 ,2751.50 ,877.09 ,491.16 ,368.31 ,11397.35 ,6231.17 ,6649.32 ,4082.43 ,12749.89 ,3436.38 ,2197.30 ,111.36 ,5045.28 ,16408.36 ,7488.88 
2022-12,11702.63 ,13866.11 ,17129.46 ,2477.68 ,22956.50 ,7275.76 ,4820.24 ,467.21 ,6951.34 ,1414.53 ,15086.95 ,21154.96 ,14480.99 ,40660.05 ,10694.84 ,2100.75 ,3936.87 ,1332.84 ,725.85 ,566.46 ,17559.63 ,9273.90 ,10067.87 ,6145.48 ,18675.22 ,4751.30 ,3101.50 ,203.79 ,8168.65 ,23861.07 ,10369.40 
2023-03,2127.69 ,2542.96 ,3195.95 ,316.66 ,4664.76 ,1406.96 ,1005.65 ,89.66 ,1058.79 ,45.45 ,3039.03 ,3726.79 ,2823.44 ,5804.53 ,1875.68 ,118.31 ,510.05 ,149.58 ,95.90 ,84.68 ,2814.87 ,1883.83 ,1734.92 ,790.88 ,2855.04 ,918.32 ,202.77 ,39.82 ,1400.63 ,5199.86 ,2279.40 
2023-06,5391.32 ,6768.27 ,7329.55 ,1102.73 ,10586.19 ,2826.37 ,1724.47 ,191.14 ,3102.42 ,409.42 ,5307.11 ,9050.38 ,6216.46 ,15916.78 ,4355.26 ,629.42 ,1736.66 ,554.46 ,307.60 ,234.28 ,7482.43 ,4336.17 ,4371.31 ,2393.40 ,7344.82 ,2274.34 ,1212.60 ,86.28 ,3154.80 ,11375.78 ,4488.52 
