"","V1","V2","V3","V4","V5","V6"
"1",-51.9639304321536,702.218323750195,582.270379538865,-7.62362454238934,16.8347234693719,0.950130154757504
"2",-50.8640541149474,694.668770819517,576.535970950828,-7.63010065807295,16.7047680869354,0.87179968102617
"3",-50.4280814920553,695.986791142262,578.276883371307,-7.55952631971749,16.720882864346,0.866976456838405
"4",-53.7649518763856,701.492960176415,582.807854893475,-7.84520949939274,16.9097920693171,1.00153392708992
"5",-48.7513339837221,696.412480297291,578.323273480948,-7.54899264787946,16.7677652846306,0.870972911849549
"6",-48.3711147097838,687.818295082282,569.832382930921,-7.46936041682992,16.51589615747,0.833553079089244
"7",-49.1664336241838,695.192222645131,576.959134648922,-7.54190408731001,16.6880219546126,0.866572073683451
"8",-53.156677375087,704.278045445619,584.675701188924,-7.86111205916311,16.9743088790152,1.00565793855575
"9",-49.4986943951259,696.502155924939,577.783371252994,-7.49226257410846,16.6803928737325,0.871188206419285
"10",-50.9521053667776,685.575608695023,569.244384296806,-7.64595728126566,16.5292074463713,0.879995869099627
"11",-50.0482300260451,686.033915704546,568.881515992286,-7.59115978435288,16.4968030833494,0.878380176336448
"12",-52.3145029956665,687.401646427924,570.662348094441,-7.73765507873285,16.57113923462,0.888551849791855
"13",-49.5897077378887,694.275793660638,576.644128094129,-7.55425948379848,16.7049543805735,0.867735993614969
"14",-50.7638960424354,686.953281140545,569.494849153109,-7.66523623799652,16.5416953037389,0.876297877606016
"15",-49.3325640096548,694.014257323019,575.905925004021,-7.51708333070923,16.6472096185781,0.869483083281536
"16",-49.5712119958153,697.341773844728,579.167078698846,-7.85852526779029,16.8981799333883,0.943530651163483
