"","V1","V2","V3","V4","V5","V6"
"1",-169.292990635048,393.940515482557,320.362835978487,-7.09767608768347,23.8993417824665,2.49665200083588
"2",-183.760167468194,443.904130568169,362.035630185738,-2.43444985008561,27.253873643281,4.0089151066586
"3",-187.090630734703,431.396303044293,350.806898767835,-5.05784613592641,24.5506646475535,2.35038620755885
"4",-173.283093081987,412.302035635316,330.876305656837,-6.55174716675767,26.6698372215802,2.6620404125811
"5",-159.800063705898,412.704084493292,330.701627941922,-6.17537859692724,25.8779844224084,3.98246866155908
"6",-163.11815418767,391.625832043557,314.689850478273,-5.36912669315632,22.6048264727861,1.64780172040765
"7",-171.106160790178,400.560413814231,323.409381105884,-6.84955556935454,23.6500987141762,1.79998498911087
"8",-204.008117550928,469.436404785802,379.864501795606,-4.88866181581814,26.2994568303088,2.5200950221328
"9",-173.995080017989,402.037294424127,323.640480628384,-6.82972405597839,23.745647867276,1.69788084962573
"10",-175.983488747695,418.276148758054,340.444656193633,-5.05485543742423,25.4209016649677,2.65994999884428
"11",-178.056878136691,408.605283780851,330.591225317229,-5.98426703357685,23.6911644801571,1.77234119146362
"12",-178.52163027509,421.848979851745,344.157663337305,-4.49309850842164,26.2678248484191,2.71511205175449
"13",-183.563135869299,422.730875203662,342.980747424287,-5.12889425448723,24.1052821993729,1.9721077382847
"14",-173.445347220301,418.244790619283,339.784666521883,-5.61661236642682,25.0217435873564,2.89228750172463
"15",-172.550620404083,401.084827273653,323.276607845789,-6.83963981266647,23.6803984554416,1.73614448062787
"16",-225.956032580586,486.534948523886,398.392340404415,-7.25291655141942,26.5443862445232,2.24682219900251
